,TF-IDF weight,Term
0,0.17589428412505526,kindly man
1,0.15830485571254974,lady merryweather
2,0.15830485571254974,ser creighton
3,0.10553657047503315,cinnamon wind
4,0.10553657047503315,high holiness
5,0.09674185626878039,lady waynwood
6,0.09234449916565401,lord rodrik
7,0.08354978495940124,blue bard
8,0.08354978495940124,ser lothor
9,0.07915242785627487,water gardens
