,key,value
0,校長,5
1,聘任,3
2,教育部,3
3,遴選委員會,3
4,臺灣大學,3
5,准否,2
6,本人,2
7,校務,1
8,財務,1
9,年度,1
10,決策,1
11,擘劃,1
12,一,1
13,已使,1
14,規劃,1
15,作出,1
16,案,1
17,該,1
18,遲遲,1
19,懈怠,1
20,核示,1
21,產生,1
22,配合,1
23,困難,1
24,四,1
25,特此,1
26,聲明,1
27,敬請,1
28,三月底,1
29,前,1
30,大校,1
31,報請,1
32,一事,1
33,應為,1
34,函示,1
35,推諉,1
36,莫須有,1
37,再,1
38,指控,1
39,遴選,1
40,依大學法,1
41,職權,1
42,二,1
43,今年,1
44,一月,1
45,五日,1
46,依法,1
47,選任,1
48,管中閔,1
49,當選人,1
50,並報,1
51,請,1
52,迄今已,1
53,逾,1
54,兩個,1
55,半月,1
56,三,1
57,政府,1
58,各部,1
59,門與政,1
60,媒勢力,1
61,斷,1
62,製,1
63,造,1
64,大學,1
65,不實,1
66,"
",1
